game_id,round,TP,year,player,teamname,list,team,country,faction,valid
100,1,1,2016,Vincent van der Bijl,Team Netherlands Rembrandt,Terminus 1,1,Netherlands,cryx,TRUE
101,1,0,2016,Nikolaj Ulf,Team Denmark Asgaard,Irusk 2,1,Denmark,khador,TRUE
102,1,0,2016,Marc Nielsen,Team Denmark Asgaard,High Reclaimer 1,1,Denmark,protectorate,TRUE
103,1,0,2016,Peter Bom Jensen,Team Denmark Asgaard,Wurmwood 1,1,Denmark,circle,TRUE
104,1,1,2016,Sebastian Kaas Petersen,Team Denmark Asgaard,Absylonia 2,1,Denmark,legion,TRUE
105,1,0,2016,Frederik Munch,Team Denmark Asgaard,Gorten 1,1,Denmark,mercenaries,TRUE
106,1,1,2016,Dominic Leedham,Team England Lions,Caine 2,1,England,cygnar,TRUE
107,1,1,2016,Brett Wilkie,Team England Lions,Baldur 2,1,England,circle,TRUE
108,1,1,2016,Ben diBosdari,Team England Lions,Lucant 1,1,England,convergence,TRUE
109,1,0,2016,Matt Goligher,Team England Lions,Ragnor 1,1,England,trollbloods,TRUE
110,1,1,2016,Nathan Hoole,Team England Lions,Stryker 2,1,England,cygnar,TRUE
111,1,1,2016,Bryce Johnston,Team Scotland Irn,Severius 1,1,Scotland,protectorate,TRUE
112,1,1,2016,Michael Dick,Team Scotland Irn,Tanith 1,1,Scotland,circle,TRUE
113,1,1,2016,William Cruickshanks,Team Scotland Irn,Iron Mother 1,1,Scotland,convergence,TRUE
114,1,1,2016,Alasdair Johnstone,Team Scotland Irn,Haley 2,1,Scotland,cygnar,TRUE
115,1,1,2016,Fraser McFetridge,Team Scotland Irn,Rask 1,1,Scotland,minions,TRUE
116,1,0,2016,Rob Read,Team Ireland Craic,Kreoss 1,1,Ireland,protectorate,TRUE
117,1,0,2016,Patrick Long,Team Ireland Craic,Madrak 2,1,Ireland,trollbloods,TRUE
118,1,0,2016,Dan Porter,Team Ireland Craic,Haley 2,1,Ireland,cygnar,TRUE
119,1,0,2016,Ciaran Bolger,Team Ireland Craic,Xerxis 1,1,Ireland,skorne,TRUE
120,1,1,2016,Michael Porter,Team Ireland Craic,Vayl 2,1,Ireland,legion,TRUE
121,1,1,2016,Frazer Penman,Team Scotland Bru,Ragnor 1,1,Scotland,trollbloods,TRUE
122,1,1,2016,Nicholas Joyce,Team Scotland Bru,Ossrum 1,1,Scotland,mercenaries,TRUE
123,1,1,2016,David Mace,Team Scotland Bru,Lylyth 3,1,Scotland,legion,TRUE
124,1,1,2016,Ian Campbell,Team Scotland Bru,Wurmwood 1,1,Scotland,circle,TRUE
125,1,0,2016,Ross Harkin,Team Scotland Bru,Irusk 2,1,Scotland,khador,TRUE
126,1,1,2016,Jim Gradwell,Team England Roses,Tanith 1,1,England,circle,TRUE
127,1,1,2016,Jun Chan,Team England Roses,Issyria 1,1,England,retribution,TRUE
128,1,1,2016,Ryan Evans,Team England Roses,Deneghra 1,1,England,cryx,TRUE
129,1,0,2016,Phil Shaw,Team England Roses,Vladimir 1,1,England,khador,TRUE
130,1,1,2016,Toby Nathan,Team England Roses,Ragnor 1,1,England,trollbloods,TRUE
131,1,0,2016,Dmitry Khalansky,Team Russia Bears,Haley 2,1,Russia,cygnar,TRUE
132,1,1,2016,Mikhail Novikov,Team Russia Bears,Amon 1,1,Russia,protectorate,TRUE
133,1,1,2016,Artem Volik,Team Russia Bears,Issyria 1,1,Russia,retribution,TRUE
134,1,0,2016,Andrei Ivanov,Team Russia Bears,Witch coven 1,1,Russia,cryx,TRUE
135,1,1,2016,Bogdan Novikov,Team Russia Bears,Baldur 2,1,Russia,circle,TRUE
136,1,1,2016,Tero Sarkijarvi,Team Finland Väinämöinen,Goreshade 1,1,Finland,cryx,TRUE
137,1,0,2016,Tatu Purhonen,Team Finland Väinämöinen,Wurmwood 1,1,Finland,circle,TRUE
138,1,1,2016,Mikko Heinola,Team Finland Väinämöinen,Severius 2,1,Finland,protectorate,TRUE
139,1,1,2016,Jaakko Uusitupa,Team Finland Väinämöinen,Haley 2,1,Finland,cygnar,TRUE
140,1,0,2016,Pauli Lehtoranta,Team Finland Väinämöinen,Rask 1,1,Finland,minions,TRUE
141,1,1,2016,Moritz Riegler,Team Germany Black,Ossyan 1,1,Germany,retribution,TRUE
142,1,1,2016,Ben Fuzi,Team Germany Black,Haley 2,1,Germany,cygnar,TRUE
143,1,1,2016,Sascha Maisel,Team Germany Black,High Reclaimer 2,1,Germany,protectorate,TRUE
144,1,1,2016,Dominik de Cassan,Team Germany Black,Iron Mother 1,1,Germany,convergence,TRUE
145,1,1,2016,Robin Maukisch,Team Germany Black,Wurmwood 1,1,Germany,circle,TRUE
146,1,0,2016,Marnix Baas,Team Netherlands Vermeer,Irusk 2,1,Netherlands,khador,TRUE
147,1,0,2016,Marc de Ruiter,Team Netherlands Vermeer,Issyria 1,1,Netherlands,retribution,TRUE
148,1,0,2016,Michael Boom,Team Netherlands Vermeer,Severius 2,1,Netherlands,protectorate,TRUE
149,1,0,2016,Michiel Smits,Team Netherlands Vermeer,Madrak 2,1,Netherlands,trollbloods,TRUE
150,1,0,2016,Maarten Koopmans,Team Netherlands Vermeer,Xerxis 1,1,Netherlands,skorne,TRUE
151,1,0,2016,Simon Sorensen,Team Denmark Jotunheim,Severius 2,1,Denmark,protectorate,TRUE
152,1,1,2016,Soren,Team Denmark Jotunheim,Stryker 2,1,Denmark,cygnar,TRUE
153,1,1,2016,Jan D'Souza,Team Denmark Jotunheim,Scaverous 1,1,Denmark,cryx,TRUE
154,1,0,2016,Benjamin Kierkegaard,Team Denmark Jotunheim,Ossyan 1,1,Denmark,retribution,TRUE
155,1,1,2016,Mikkel Ernst,Team Denmark Jotunheim,Karchev 1,1,Denmark,khador,TRUE
156,1,0,2016,Dominic Beyeler,Team Switzerland Cheese,Wurmwood 1,1,Switzerland,circle,TRUE
157,1,1,2016,Pascal Kruttli,Team Switzerland Cheese,Sturm & Drang 1,1,Switzerland,minions,TRUE
158,1,0,2016,Moritz Schwank,Team Switzerland Cheese,Butcher 1,1,Switzerland,khador,TRUE
159,1,0,2016,Lorenz Gredig,Team Switzerland Cheese,Asphyxious 3,1,Switzerland,cryx,TRUE
160,1,0,2016,Henrik Ekholm,Team Switzerland Cheese,Morghoul 1,1,Switzerland,skorne,TRUE
161,2,0,2016,Phil Shaw,Team England Roses,Vladimir 1,1,England,khador,TRUE
162,2,0,2016,Jim Gradwell,Team England Roses,Baldur 2,1,England,circle,TRUE
163,2,0,2016,Toby Nathan,Team England Roses,Ragnor 1,1,England,trollbloods,TRUE
164,2,1,2016,Jun Chan,Team England Roses,Vyros 2,1,England,retribution,TRUE
165,2,1,2016,Ryan Evans,Team England Roses,Witch coven 1,1,England,cryx,TRUE
166,2,1,2016,Vincent van der Bijl,Team Netherlands Rembrandt,Asphyxious 3,1,Netherlands,cryx,TRUE
167,2,1,2016,Tom Starren,Team Netherlands Rembrandt,Karchev 1,1,Netherlands,khador,TRUE
168,2,0,2016,William Bekkema,Team Netherlands Rembrandt,Lucant 1,1,Netherlands,convergence,TRUE
169,2,0,2016,Anjo Brand,Team Netherlands Rembrandt,Vyros 1,1,Netherlands,retribution,TRUE
170,2,1,2016,Dave den Ouden,Team Netherlands Rembrandt,Doomshaper 1,1,Netherlands,trollbloods,TRUE
171,2,0,2016,Patrick Dunford,Team Ireland Ceol,Haley 2,1,Ireland,cygnar,TRUE
172,2,0,2016,Conor Burnell,Team Ireland Ceol,Doomshaper 2,1,Ireland,trollbloods,TRUE
173,2,0,2016,Mark Hayes,Team Ireland Ceol,Ossyan 1,1,Ireland,retribution,TRUE
174,2,1,2016,Peter Croft,Team Ireland Ceol,Absylonia 2,1,Ireland,legion,TRUE
175,2,0,2016,Eoin Brennan,Team Ireland Ceol,Baldur 2,1,Ireland,circle,TRUE
176,2,0,2016,Sietse Sommeling,Team Netherlands Van Gogh,Issyria 1,1,Netherlands,retribution,TRUE
177,2,0,2016,Casper Jellema,Team Netherlands Van Gogh,Wurmwood 1,1,Netherlands,circle,TRUE
178,2,0,2016,Georg Buscha,Team Netherlands Van Gogh,Kaelyssa 1,1,Netherlands,retribution,TRUE
179,2,0,2016,Paul de Geus,Team Netherlands Van Gogh,Lylyth 3,1,Netherlands,legion,TRUE
180,2,0,2016,Frederik Punt,Team Netherlands Van Gogh,Rask 1,1,Netherlands,minions,TRUE
181,2,0,2016,Stefan Benediktsson,Team Sweden Dynamite,Witch coven 1,1,Sweden,cryx,TRUE
182,2,0,2016,Joakim Rapp,Team Sweden Dynamite,Vladimir 2,1,Sweden,khador,TRUE
183,2,0,2016,Denis Korzun,Team Sweden Dynamite,Borka 1,1,Sweden,trollbloods,TRUE
184,2,0,2016,Gustav Berggren,Team Sweden Dynamite,Arkadius 1,1,Sweden,minions,TRUE
185,2,0,2016,Rickard Nilsson,Team Sweden Dynamite,Rask 1,1,Sweden,minions,TRUE
186,2,1,2016,David Beauchamp,Team Canada Goose,Ossyan 1,1,Canada,retribution,TRUE
187,2,1,2016,Bubba Dalton,Team Canada Goose,Karchev 1,1,Canada,khador,TRUE
188,2,0,2016,Chandler Davidson,Team Canada Goose,Severius 2,1,Canada,protectorate,TRUE
189,2,1,2016,Tim Fung,Team Canada Goose,Wurmwood 1,1,Canada,circle,TRUE
190,2,1,2016,Chris Orr,Team Canada Goose,Lylyth 3,1,Canada,legion,TRUE
191,2,0,2016,Dominik de Cassan,Team Germany Black,Axis 1,1,Germany,convergence,TRUE
192,2,1,2016,Moritz Riegler,Team Germany Black,Vyros 2,1,Germany,retribution,TRUE
193,2,1,2016,Robin Maukisch,Team Germany Black,Baldur 2,1,Germany,circle,TRUE
194,2,1,2016,Ben Fuzi,Team Germany Black,Sloan 1,1,Germany,cygnar,TRUE
195,2,1,2016,Sascha Maisel,Team Germany Black,High Reclaimer 1,1,Germany,protectorate,TRUE
196,2,0,2016,Piotr Gotowiec,Team Poland Storks,Irusk 2,1,Poland,khador,TRUE
197,2,0,2016,Karol Sosnowski,Team Poland Storks,Baldur 2,1,Poland,circle,TRUE
198,2,0,2016,Adam Szymanski,Team Poland Storks,Stryker 2,1,Poland,cygnar,TRUE
199,2,1,2016,Mateusz Dziewanowski,Team Poland Storks,Ossyan 1,1,Poland,retribution,TRUE
200,2,0,2016,Andrzej Reszelski,Team Poland Storks,Severius 2,1,Poland,protectorate,TRUE
201,2,0,2016,Martin Florian,Team Austria Apfelstrudel,Irusk 2,1,Austria,khador,TRUE
202,2,0,2016,Laszlo Vuray,Team Austria Apfelstrudel,Sturm & Drang 1,1,Austria,minions,TRUE
203,2,1,2016,Alexander Grob,Team Austria Apfelstrudel,Caine 2,1,Austria,cygnar,TRUE
204,2,1,2016,Daniel Pawelka,Team Austria Apfelstrudel,Calandra 1,1,Austria,trollbloods,TRUE
205,2,0,2016,Daniel Maierl,Team Austria Apfelstrudel,Ossyan 1,1,Austria,retribution,TRUE
206,2,1,2016,Brent Simon,Team USA White,Lylyth 3,1,USA,legion,TRUE
207,2,1,2016,Chris Green,Team USA White,Kaya 2,1,USA,circle,TRUE
208,2,1,2016,Michael Ireland,Team USA White,Ossyan 1,1,USA,retribution,TRUE
209,2,0,2016,Trevor Attridge,Team USA White,Haley 2,1,USA,cygnar,TRUE
210,2,1,2016,Trevor Christensen,Team USA White,Rasheth 1,1,USA,skorne,TRUE
211,2,0,2016,Daniel Bogdanoski,Team Czech Republic Red,Irusk 2,1,Czech.Republic,khador,TRUE
212,2,1,2016,Michal Dzurenda,Team Czech Republic Red,Issyria 1,1,Czech.Republic,retribution,TRUE
213,2,0,2016,Tomáš Pešták,Team Czech Republic Red,Skarre 2,1,Czech.Republic,cryx,TRUE
214,2,0,2016,Lukáš Maršík,Team Czech Republic Red,Doomshaper 2,1,Czech.Republic,trollbloods,TRUE
215,2,0,2016,Adam Tuma,Team Czech Republic Red,Severius 2,1,Czech.Republic,protectorate,TRUE
216,2,0,2016,Gabor Wolf,Team Hungary,Karchev 1,1,Hungary,khador,TRUE
217,2,1,2016,Zoltan Gaal,Team Hungary,Venethrax 1,1,Hungary,cryx,TRUE
218,2,0,2016,Lorand Sovenyhazi,Team Hungary,Grissel 2,1,Hungary,trollbloods,TRUE
219,2,0,2016,Rudolf Edlmayer,Team Hungary,Nemo 1,1,Hungary,cygnar,TRUE
220,2,1,2016,Csaba Mile,Team Hungary,Vladimir 1,1,Hungary,khador,TRUE
221,2,1,2016,Christopher Muller,Team Germany Gold,High Reclaimer 1,1,Germany,protectorate,TRUE
222,2,1,2016,Christian Metz,Team Germany Gold,Vladimir 1,1,Germany,khador,TRUE
223,2,1,2016,Bernhard Fischer,Team Germany Gold,Kaya 2,1,Germany,circle,TRUE
224,2,0,2016,Moritz Gatt,Team Germany Gold,Amon 1,1,Germany,protectorate,TRUE
225,2,0,2016,Philipp Schaper,Team Germany Gold,Ravyn 1,1,Germany,retribution,TRUE
226,2,0,2016,Sergei Lakissov,Team Latvia,Cyphon 1,1,Latvia,mercenaries,TRUE
227,2,0,2016,Dmitri Pechonkin,Team Latvia,Wurmwood 1,1,Latvia,circle,TRUE
228,2,0,2016,Aleksandr Blumental,Team Latvia,Vladimir 2,1,Latvia,khador,TRUE
229,2,0,2016,Eduard Berdjugin,Team Latvia,Lylyth 3,1,Latvia,legion,TRUE
230,2,0,2016,Andrei Isaev,Team Latvia,Sloan 1,1,Latvia,cygnar,TRUE
231,2,1,2016,Fredrik Rabén,Team Sweden Bofors,Haley 2,1,Sweden,cygnar,TRUE
232,2,1,2016,Ola Segerberg,Team Sweden Bofors,Issyria 1,1,Sweden,retribution,TRUE
233,2,1,2016,Niklas Bergmark,Team Sweden Bofors,Madrak 2,1,Sweden,trollbloods,TRUE
234,2,0,2016,Gustav Linderup,Team Sweden Bofors,Harbinger 1,1,Sweden,protectorate,TRUE
235,2,1,2016,Torbjorn Hansson,Team Sweden Bofors,Vayl 2,1,Sweden,legion,TRUE
236,2,0,2016,Tero Sarkijarvi,Team Finland Väinämöinen,Goreshade 2,1,Finland,cryx,TRUE
237,2,0,2016,Tatu Purhonen,Team Finland Väinämöinen,Kromac 2,1,Finland,circle,TRUE
238,2,0,2016,Mikko Heinola,Team Finland Väinämöinen,Severius 2,1,Finland,protectorate,TRUE
239,2,0,2016,Pauli Lehtoranta,Team Finland Väinämöinen,Rask 1,1,Finland,minions,TRUE
240,2,0,2016,Jaakko Uusitupa,Team Finland Väinämöinen,Haley 1,1,Finland,cygnar,TRUE
241,2,1,2016,Josep Raúl López,Team Spain Rogue,Haley 2,1,Spain,cygnar,TRUE
242,2,1,2016,Adrian Ramos,Team Spain Rogue,Gunnbjorn 1,1,Spain,convergence,FALSE
243,2,0,2016,Jorge Cerdá,Team Spain Rogue,Iron Mother 1,1,Spain,trollbloods,FALSE
244,2,1,2016,Manuel Tulla,Team Spain Rogue,Baldur 2,1,Spain,circle,TRUE
245,2,0,2016,Marc Heredia,Team Spain Rogue,Severius 2,1,Spain,protectorate,TRUE
246,2,1,2016,Antti Jussila,Team Finland Joukahainen,Magnus 2,1,Finland,mercenaries,TRUE
247,2,1,2016,Joonas Heinonen,Team Finland Joukahainen,Axis 1,1,Finland,convergence,TRUE
248,2,1,2016,Tuomas Toimela,Team Finland Joukahainen,Rasheth 1,1,Finland,skorne,TRUE
249,2,1,2016,Jani Kautto,Team Finland Joukahainen,Thyra 1,1,Finland,protectorate,TRUE
250,2,1,2016,Jarkko Vahamaa,Team Finland Joukahainen,Kromac 2,1,Finland,circle,TRUE
251,2,1,2016,Dimitri Sarbanis,Team Australia Wallaby,Severius 2,1,Australia,protectorate,TRUE
252,2,1,2016,Rohan Mowle,Team Australia Wallaby,Reznik 1,1,Australia,protectorate,TRUE
253,2,1,2016,Russell Harman,Team Australia Wallaby,Deneghra 1,1,Australia,cryx,TRUE
254,2,1,2016,Henry Wagner,Team Australia Wallaby,Thagrosh 1,1,Australia,legion,TRUE
255,2,0,2016,Liam Gallagher,Team Australia Wallaby,Carver 1,1,Australia,minions,TRUE
256,2,1,2016,Brin Blatnik,Team Slovenia,Doomshaper 2,1,Slovenia,trollbloods,TRUE
257,2,0,2016,Jean-Sebastien Imbeau,Team Slovenia,Kreoss 1,1,Slovenia,protectorate,TRUE
258,2,0,2016,Tomaz Kovacic,Team Slovenia,Caine 2,1,Slovenia,cygnar,TRUE
259,2,0,2016,Jan Kleva Ivancic,Team Slovenia,Butcher 3,1,Slovenia,khador,TRUE
260,2,1,2016,Maksimiljan Galos,Team Slovenia,Wurmwood 1,1,Slovenia,circle,TRUE
261,2,1,2016,Jay Larsen,Team USA Blue,Ragnor 1,1,USA,trollbloods,TRUE
262,2,1,2016,Dan Yount,Team USA Blue,Tanith 1,1,USA,circle,TRUE
263,2,1,2016,Julien Lesage,Team USA Blue,Doomshaper 3,1,USA,trollbloods,TRUE
264,2,1,2016,Brian Marino,Team USA Blue,Vayl 2,1,USA,legion,TRUE
265,2,0,2016,Jeremy Lee,Team USA Blue,Kromac 2,1,USA,circle,TRUE
266,2,0,2016,Mats Aubell,Team Norway Blue,Madrak 2,1,Norway,trollbloods,TRUE
267,2,1,2016,Endre Fodstad,Team Norway Blue,Lucant 1,1,Norway,convergence,TRUE
268,2,1,2016,Leif Bohli,Team Norway Blue,Butcher 3,1,Norway,khador,TRUE
269,2,1,2016,Martin Andre Rohme,Team Norway Blue,Absylonia 2,1,Norway,legion,TRUE
270,2,0,2016,Asbjorn Willarsrud,Team Norway Blue,Wurmwood 1,1,Norway,circle,TRUE
271,2,0,2016,John Helz,Team UAE,Madrak 2,1,UAE,trollbloods,TRUE
